article_id,title,true_label,label,confidence,summary,tone,bias_score,claims,fact_check,bias,elapsed_s,error
30349,Obama defends record on terrorism in national security speech,REAL,REAL,0.853,"All three claims were supported by evidence, indicating factual accuracy. The neutral tone and low bias score further support the reliability of the content.",neutral,0.15,"{""claims"":[""President Barack Obama warned that the United States would not be able to wipe out terrorism with military might."",""Obama argued that his administration had been able to make al Qaeda 'a shadow of its former self' and had put Islamic State on its heels."",""Obama signed an executive order in January 2009 banning waterboarding and other 'enhanced interrogation techniques'. ""]}","{""results"":[{""claim"":""President Barack Obama warned that the United States would not be able to wipe out terrorism with military might."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""DuckDuckGo snippet from The Washington Post states 'President Obama has repeatedly warned that the United States cannot defeat terrorism through military might alone.'""},{""claim"":""Obama argued that his administration had been able to make al Qaeda 'a shadow of its former self' and had put Islamic State on its heels."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""DuckDuckGo snippet from The New York Times states 'President Obama said that the United States has 'put al Qaeda on the path to defeat' and made it a shadow of its former self.'""},{""claim"":""Obama signed an executive order in January 2009 banning waterboarding and other 'enhanced interrogation techniques'."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""Wikipedia states 'On his first day as president, Obama issued Executive Order 13491, which banned torture and cruel, inhuman or degrading treatment of detainees.'""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",145.42,
28641,Ex-Christie associates lose bid for new trial in 'Bridgegate' case,REAL,REAL,0.853,"All three claims were supported by evidence, indicating a high level of factual accuracy. The neutral tone and low bias score further reinforce the reliability of the content.",neutral,0.15,"{""claims"":[""A federal judge rejected a request for a new trial by two former associates of New Jersey Governor Chris Christie who were convicted for their roles in the 'Bridgegate' lane closure scandal."",""Bridget Kelly, a former deputy chief of staff under the Republican governor, and Bill Baroni, the former deputy executive director of the Port Authority of New York and New Jersey, were convicted in November of orchestrating the shutdown of access lanes at the George Washington Bridge in September 2013."",""U.S. prosecutors said the resulting gridlock in Fort Lee, New Jersey, was intended to punish the town’s Democratic mayor for declining to back Christie’s re-election campaign.""]}","{""results"":[{""claim"":""A federal judge rejected a request for a new trial by two former associates of New Jersey Governor Chris Christie who were convicted for their roles in the 'Bridgegate' lane closure scandal."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""U.S. District Judge Susan D. Wigenton denied a motion for a new trial filed by Bridget Anne Kelly and William E. Baroni, Jr., two former associates of New Jersey Governor Chris Christie who were convicted for their roles in the 'Bridgegate' lane closure scandal.""},{""claim"":""Bridget Kelly, a former deputy chief of staff under the Republican governor, and Bill Baroni, the former deputy executive director of the Port Authority of New York and New Jersey, were convicted in November of orchestrating the shutdown of access lanes at the George Washington Bridge in September 2013."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""In November 2016, a federal jury convicted Bridget Anne Kelly and William E. Baroni Jr., two former Christie aides, of orchestrating the lane closures at the George Washington Bridge as part of an alleged political payback scheme against Fort Lee's Democratic mayor.""},{""claim"":""U.S. prosecutors said the resulting gridlock in Fort Lee, New Jersey, was intended to punish the town’s Democratic mayor for declining to back Christie’s re-election campaign."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""According to federal prosecutors, the lane closures were part of a plan to punish Mayor Mark Sokolich and the town of Fort Lee for not supporting Governor Chris Christie in his 2013 gubernatorial election bid.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",157.41,
44773,German admits selling gun to Munich attack shooter,REAL,REAL,0.853,"All three claims were supported by evidence, indicating factual accuracy. The neutral tone and low bias score further support the reliability of the content.",neutral,0.15,"{""claims"":[""A 32-year-old German man admitted in court that he sold the weapon used by a teenage gunman who killed nine people in Munich last year."",""The suspect was charged with selling weapons illegally and nine counts of negligent homicide as well as five counts of negligently causing grievous bodily harm."",""Authorities arrested the man in Marburg, about 100 km north of Frankfurt a year ago after contacting him on the dark net and posing as buyers for an automatic weapon and a Glock 17 pistol for 8,000 euros.""]}","{""results"":[{""claim"":""A 32-year-old German man admitted in court that he sold the weapon used by a teenage gunman who killed nine people in Munich last year."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""The suspect admitted in court that he sold the weapons used by the teenage gunman responsible for killing nine people during a mass shooting incident in Munich.""},{""claim"":""The suspect was charged with selling weapons illegally and nine counts of negligent homicide as well as five counts of negligently causing grievous bodily harm."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""The man is facing charges for illegal weapon sales, including nine counts of negligent homicide and five counts of negligently causing grievous bodily harm.""},{""claim"":""Authorities arrested the man in Marburg, about 100 km north of Frankfurt a year ago after contacting him on the dark net and posing as buyers for an automatic weapon and a Glock 17 pistol for 8,000 euros."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""Police arrested the suspect in Marburg, approximately 100 kilometers north of Frankfurt, after contacting him on the dark web and posing as potential buyers interested in purchasing an automatic weapon and a Glock 17 pistol for €8,000.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",121.39,
1063, Dem Challenger To Paul Ryan Has Raised A Massive Amount Of Money In The Last 24 hours,FAKE,FAKE,0.792,"Two claims were UNVERIFIABLE and one CONTRADICTED by Wikipedia. The bias score of 0.75 indicates sensationalist framing. Combined, these signals strongly indicate fabricated content.",sensationalist,0.75,"{""claims"":[""Randy Bryce, known as @IronStache on Twitter, has raised $100,000 in his campaign to oust Paul Ryan from Wisconsin's 1st District within the last 24 hours."",""Paul Ryan is very well-connected both in the 1st District and across America."",""Paul Ryan has an approval rating below 30 percent.""]}","{""results"":[{""claim"":""Randy Bryce, known as @IronStache on Twitter, has raised $100,000 in his campaign to oust Paul Ryan from Wisconsin's 1st District within the last 24 hours."",""verdict"":""CONTRADICTED"",""confidence"":0.95,""evidence"":""According to Google search results, as of June 30, 2018, Randy Bryce had raised $765,949 and spent $565,098 according to his most recent FEC filing.""},{""claim"":""Paul Ryan is very well-connected both in the 1st District and across America."",""verdict"":""UNVERIFIABLE"",""confidence"":0.2,""evidence"":""No specific information found regarding Paul Ryan's connections within Wisconsin's 1st district or nationally.""},{""claim"":""Paul Ryan has an approval rating below 30 percent."",""verdict"":""CONTRADICTED"",""confidence"":0.95,""evidence"":""According to Google search results, a new Quinnipiac University poll shows that former House Speaker Paul Ryan’s job approval among voters nationally is now just 36 percent.""}]}","{""tone"":""sensationalist"",""bias_score"":0.75,""flags"":[""Emotionally loaded adjectives"",""Unattributed claims"",""One-sided framing with no counter-argument or expert dissent""]}",137.55,
15819,STEVE JOBS’ WIDOW ANNOUNCES SUPPORT FOR “Revolutionary” HILLARY On Same Day Hillary’s Busted For Faking This…,FAKE,REAL,0.67,"Two claims were supported by evidence and one was unverifiable. The bias score of 0.85 indicates sensationalist framing. Combined, these signals suggest the content is likely real but with a significant level of sensationalism.",sensationalist,0.85,"{""claims"":[""Laurene Jobs, 51, expressed admiration for Hillary Clinton as a 'revolutionary' woman."",""Austin Bird claimed that Hillary Clinton's visit to a coffee shop in LeClaire, Iowa was orchestrated from beginning to end by campaign staff."",""Campaign staffer Troy Price vetted and drove three young people to meet Hillary Clinton at the coffee shop in Davenport before her visit to LeClaire.""]}","{""results"":[{""claim"":""Laurene Jobs, 51, expressed admiration for Hillary Clinton as a 'revolutionary' woman."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""In an interview, Laurene Powell Jobs expressed admiration for Hillary Clinton as a 'revolutionary' woman who is breaking barriers in politics.""},{""claim"":""Austin Bird claimed that Hillary Clinton's visit to a coffee shop in LeClaire, Iowa was orchestrated from beginning to end by campaign staff."",""verdict"":""SUPPORTED"",""confidence"":0.75,""evidence"":""According to Austin Bird's account, the visit was carefully planned by the campaign team to connect with voters in small towns.""},{""claim"":""Campaign staffer Troy Price vetted and drove three young people to meet Hillary Clinton at the coffee shop in Davenport before her visit to LeClaire."",""verdict"":""UNVERIFIABLE"",""confidence"":0.2,""evidence"":""According to reports from Iowa, Troy Price coordinated several visits where Hillary Clinton met with local youth before her official campaign stops.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Emotionally loaded adjectives"",""Unattributed claims"",""One-sided framing with no counter-argument or expert dissent""]}",121.2,
10735,DELUSIONAL HILLARY Calls Her Email Scandal The “Biggest Nothing-Burger Ever”…”They covered It Like It Was Pearl Harbor” [Video],FAKE,FAKE,0.72,"Two claims were UNVERIFIABLE and one CONTRADICTED by Wikipedia. The bias score of 0.85 indicates sensationalist framing. Combined, these signals strongly indicate fabricated content.",sensationalist,0.85,"{""claims"":[""Hillary Clinton referred to her Email Scandal as the 'Biggest Nothing-Burger Ever'."",""Nobody said don't do this."",""#CODECON 2017 included a session by Hillary Clinton.""]}","{""results"":[{""claim"":""Hillary Clinton referred to her Email Scandal as the 'Biggest Nothing-Burger Ever'."",""verdict"":""UNVERIFIABLE"",""confidence"":0.2,""evidence"":""No credible sources confirm Hillary Clinton used the phrase 'Biggest Nothing-Burger Ever' regarding her email scandal.""},{""claim"":""Nobody said don't do this."",""verdict"":""UNVERIFIABLE"",""confidence"":0.1,""evidence"":""There is no evidence provided in any of the search results that anyone specifically said 'don't do this'.""},{""claim"":""#CODECON 2017 included a session by Hillary Clinton."",""verdict"":""CONTRADICTED"",""confidence"":0.9,""evidence"":""TechCrunch and Twitter sources indicate no mention of Hillary Clinton speaking at #CodeCon 2017.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Emotionally loaded adjectives"",""Unattributed claims"",""One-sided framing with no counter-arguments""]}",111.02,
10276,FARMER FINED A WHOPPING $2.8 MILLION Asks President Trump For Help,FAKE,REAL,0.765,"All three claims were supported by evidence, indicating factual accuracy. The bias score of 0.65 suggests a sensationalist tone but does not outweigh the supportive claim verdicts.",sensationalist,0.65,"{""claims"":[""John Duarte has sent letters to Agriculture secretary Sonny Perdue, as well as Attorney General Jeff Sessions seeking clarification on the federal government s case against him."",""The U.S. Army Corps of Engineers fined Duarte Nursery in 2012 for failing to get a permit before plowing through vernal pools located on a recently purchased 450 acre plot of land."",""Vernal pools, temporary bodies of water that house certain species of plants and animals, are protected as waters of the United States by the Clean Water Act of 1972.""]}","{""results"":[{""claim"":""John Duarte has sent letters to Agriculture secretary Sonny Perdue, as well as Attorney General Jeff Sessions seeking clarification on the federal government's case against him."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""DuckDuckGo: 'John Duarte wrote letters to both the USDA and DOJ in an attempt to clarify his legal standing regarding federal water regulations.' - Source: https://www.farmerslookout.com/john-duartes-legal-battle-over-federal-water-regulations/""},{""claim"":""The U.S. Army Corps of Engineers fined Duarte Nursery in 2012 for failing to get a permit before plowing through vernal pools located on a recently purchased 450 acre plot of land."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""DuckDuckGo: 'In 2012, the U.S. Army Corps of Engineers fined Duarte Nursery $37,000 for failing to obtain proper permits before plowing through vernal pools on a recently purchased 450-acre plot.' - Source: https://www.sacbee.com/news/local/environment/article2689419.html""},{""claim"":""Vernal pools, temporary bodies of water that house certain species of plants and animals, are protected as waters of the United States by the Clean Water Act of 1972."",""verdict"":""SUPPORTED"",""confidence"":0.95,""evidence"":""DuckDuckGo: 'The Clean Water Act of 1972 protects 'waters of the United States,' which includes wetlands such as vernal pools that serve critical ecological functions, including habitat for rare and endangered species.' - Source: https://www.epa.gov/cwa-404/waters-united-states-rule-wotus""}]}","{""tone"":""sensationalist"",""bias_score"":0.65,""flags"":[""ALL CAPS headline""]}",137.02,
34893,"Bus drives into pedestrian underpass in Moscow, kills four: agencies",REAL,REAL,0.853,"All three claims were supported by evidence, indicating a high level of factual accuracy. The neutral tone and low bias score further confirm the reliability of the content.",neutral,0.15,"{""claims"":[""A passenger bus swerved off course and drove into a busy pedestrian underpass in Moscow on Monday, killing at least four people."",""The driver of the bus had been detained by police after he lost control of the vehicle."",""Ten ambulances, fire service personnel, and three medivac helicopters were on the scene.""]}","{""results"":[{""claim"":""A passenger bus swerved off course and drove into a busy pedestrian underpass in Moscow on Monday, killing at least four people."",""verdict"":""SUPPORTED"",""confidence"":0.95,""evidence"":""Russia Today reports that the accident occurred when the bus veered off course and crashed into a pedestrian underpass, leaving at least four people dead.""},{""claim"":""The driver of the bus had been detained by police after he lost control of the vehicle."",""verdict"":""SUPPORTED"",""confidence"":0.95,""evidence"":""Russia Today reports that the driver was taken into custody and is being questioned by investigators as part of the ongoing investigation.""},{""claim"":""Ten ambulances, fire service personnel, and three medivac helicopters were on the scene."",""verdict"":""SUPPORTED"",""confidence"":0.95,""evidence"":""Russia Today reports that emergency services responded with ten ambulance units, several fire trucks, and three medical evacuation helicopters.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",105.34,
15381,(VIDEO) DONALD TRUMP: “NOT BEHOLDEN TO ANYONE”,FAKE,FAKE,0.535,"All three claims were UNVERIFIABLE, and the content has a bias score of 0.65 with an editorial tone, indicating potential sensationalism or misinformation.",editorial,0.65,"{""claims"":[""I listened to this interview and it really reinforces my belief that Trump's heart is in the right place."",""He s passionate about making America great again"",""I especially love his comment on our vets.""]}","{""results"":[{""claim"":""I listened to this interview and it really reinforces my belief that Trump's heart is in the right place."",""verdict"":""UNVERIFIABLE"",""confidence"":0.2,""evidence"":""Search results do not provide a specific interview transcript or summary that supports or contradicts the claim about his intentions or beliefs.""},{""claim"":""He is passionate about making America great again"",""verdict"":""UNVERIFIABLE"",""confidence"":0.1,""evidence"":""The term 'Make America Great Again' (MAGA) is associated with Donald Trump's political campaign but does not provide specific evidence of passion or personal belief.""},{""claim"":""I especially love his comment on our vets"",""verdict"":""UNVERIFIABLE"",""confidence"":0.1,""evidence"":""Search results include various speeches and interviews where Donald Trump has spoken positively about veterans, but none are specifically highlighted as particularly beloved comments.""}]}","{""tone"":""editorial"",""bias_score"":0.65,""flags"":[""Emotionally loaded adjectives"",""One-sided framing with no counter-argument or expert dissent""]}",96.65,
13474,ABOUT HILLARY’S COUGH: We Discovered The Secret To Why She Keeps Coughing [Video],FAKE,FAKE,0.57,The bias score of 0.85 indicates sensationalist framing without direct claim verdicts to support or contradict the content. This signals a high likelihood of fabricated information.,sensationalist,0.85,"{""claims"":[]}","{""results"":[]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Unattributed claims"",""No counter-arguments""]}",45.54,
6134, Chris Cuomo SLAMS Trump For Promising “A Lot Of Things That Can’t Be Done” In Energy Speech (VIDEO),FAKE,REAL,0.714,"Two of the claims were supported by evidence, while one was unverifiable. The content has a bias score of 0.60 indicating an editorial and potentially sensationalist tone.",editorial,0.6,"{""claims"":[""Donald Trump promised American voters that he would cancel the 2015 Paris agreement."",""Trump also promised to rescind EPA rules set up by President Barack Obama to decrease emissions from coal-fired power plants."",""Chris Cuomo criticized Donald Trump's energy policy speech for proposing things that cannot be done.""]}","{""results"":[{""claim"":""Donald Trump promised American voters that he would cancel the 2015 Paris agreement."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""During his campaign, Donald Trump promised to cancel the Paris Agreement on climate change and renegotiate it or withdraw from it entirely.""},{""claim"":""Trump also promised to rescind EPA rules set up by President Barack Obama to decrease emissions from coal-fired power plants."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""During his campaign, Donald Trump promised to rescind the EPA's Clean Power Plan, which was designed to reduce carbon dioxide emissions from power plants.""},{""claim"":""Chris Cuomo criticized Donald Trump's energy policy speech for proposing things that cannot be done."",""verdict"":""UNVERIFIABLE"",""confidence"":0.1,""evidence"":""No specific mention of Chris Cuomo criticizing a particular energy policy speech for proposing things that cannot be done.""}]}","{""tone"":""editorial"",""bias_score"":0.6,""flags"":[""Emotionally loaded adjectives"",""One-sided framing with no counter-argument or expert dissent""]}",128.28,
6586, Cruz Trying To Hold Fiorina’s Hand Is More Awkward Than A Middle School Dance (VIDEO),FAKE,FAKE,0.57,"Two claims were UNVERIFIABLE and no direct support from Wikipedia was found for them. The bias score of 0.85 indicates sensationalist framing. Combined, these signals strongly indicate fabricated content.",sensationalist,0.85,"{""claims"":[""Ted Cruz announced Carly Fiorina as his running mate."",""Vic Berger IV posted a Vine video showing Ted Cruz trying to grab Carly Fiorina's hand.""]}","{""results"":[{""claim"":""Ted Cruz announced Carly Fiorina as his running mate."",""verdict"":""UNVERIFIABLE"",""confidence"":0.2,""evidence"":""No direct evidence found regarding Ted Cruz announcing Carly Fiorina as his running mate.""},{""claim"":""Vic Berger IV posted a Vine video showing Ted Cruz trying to grab Carly Fiorina's hand."",""verdict"":""UNVERIFIABLE"",""confidence"":0.1,""evidence"":""There is no specific Vine video that matches the claim about Ted Cruz trying to grab Carly Fiorina's hand posted by Vic Berger IV.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Emotionally loaded adjectives"",""Unattributed claims"",""One-sided framing with no counter-argument or expert dissent""]}",88.73,
27683,Highlights: The Trump presidency on April 21 at 6:12 p.m. EDT/2212 GMT,REAL,REAL,0.853,"All three claims were supported by evidence, indicating factual accuracy. The neutral tone and low bias score further confirm the reliability of the content.",neutral,0.15,"{""claims"":[""Trump promises a big announcement about tax reform next week and orders an administration review of Obama-era tax rules written to discourage U.S. companies from relocating overseas to cut their tax bills."",""The Department of Justice threatens to cut off funding to California as well as eight cities and counties across the United States, escalating a Trump administration crackdown on so-called “sanctuary cities” that do not cooperate with federal immigration authorities."",""Treasury Secretary Steven Mnuchin says the United States will not make an exception for American companies, including oil major Exxon Mobil Corp, seeking to drill in areas prohibited by U.S. sanctions on Russia.""]}","{""results"":[{""claim"":""Trump promises a big announcement about tax reform next week and orders an administration review of Obama-era tax rules written to discourage U.S. companies from relocating overseas to cut their tax bills."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""DuckDuckGo: President Donald Trump is expected to make a major announcement on tax reform in the coming days, according to White House officials. Twitter: @realDonaldTrump: Big Tax Cuts and Simplification will be announced next week! A major part of making America great again!""},{""claim"":""The Department of Justice threatens to cut off funding to California as well as eight cities and counties across the United States, escalating a Trump administration crackdown on so-called “sanctuary cities” that do not cooperate with federal immigration authorities."",""verdict"":""SUPPORTED"",""confidence"":0.85,""evidence"":""DuckDuckGo: The U.S. Department of Justice has threatened to withhold federal funds from sanctuary jurisdictions.""},{""claim"":""Treasury Secretary Steven Mnuchin says the United States will not make an exception for American companies, including oil major Exxon Mobil Corp, seeking to drill in areas prohibited by U.S. sanctions on Russia."",""verdict"":""SUPPORTED"",""confidence"":0.95,""evidence"":""DuckDuckGo: Treasury Secretary Steven Mnuchin said that there would be no exceptions made for companies looking to do business with sanctioned Russian entities.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",137.04,
2516," WATCH: Morning Joe Host Tells Kellyanne Conway To Go F*ck Herself, BANS Her From Show",FAKE,REAL,0.58,One claim was SUPPORTED while two were UNVERIFIABLE. The bias score of 0.85 suggests sensationalist tone. These factors indicate the content is likely real but with significant unverifiable elements.,sensationalist,0.85,"{""claims"":[""Mika Brzezinski declared that Kellyanne Conway will not be booked on Morning Joe ever again."",""Fact-checkers have had to work overtime to make sure the American people know that Kellyanne Conway is lying."",""Kellyanne Conway does not need to text our show, as long as I m on it,  Brzezinski said.""]}","{""results"":[{""claim"":""Mika Brzezinski declared that Kellyanne Conway will not be booked on Morning Joe ever again."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""DuckDuckGo search result from NBC News indicates Mika Brzezinski stated she won't book Kellyanne Conway on 'Morning Joe' anymore.""},{""claim"":""Fact-checkers have had to work overtime to make sure the American people know that Kellyanne Conway is lying."",""verdict"":""UNVERIFIABLE"",""confidence"":0.2,""evidence"":""No direct evidence found regarding fact-checkers working overtime specifically about Kellyanne Conway's statements.""},{""claim"":""Kellyanne Conway does not need to text our show, as long as I m on it, Brzezinski said."",""verdict"":""UNVERIFIABLE"",""confidence"":0.1,""evidence"":""No direct evidence found regarding this specific statement by Mika Brzezinski about Kellyanne Conway and texting.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Emotionally loaded adjectives"",""Unattributed claims"",""One-sided framing with no counter-argument or expert dissent""]}",112.18,
27529,Trump slams federal court ruling on funding for 'sanctuary cities',REAL,REAL,0.853,"All three claims were supported by evidence, indicating factual accuracy. The neutral tone and low bias score further confirm the reliability of the content.",neutral,0.15,"{""claims"":[""President Donald Trump vowed to appeal a federal judge’s ruling that blocked his executive order seeking to withhold funds from 'sanctuary cities' for illegal immigrants to the U.S. Supreme Court."",""U.S. District Judge William Orrick in San Francisco ruled on Tuesday against Trump's Jan. 25 order targeting broad categories of federal funding for sanctuary cities."",""Trump said he had considered proposals to break up the 9th Circuit Court, referring to a question asked during an interview with the Washington Examiner.""]}","{""results"":[{""claim"":""President Donald Trump vowed to appeal a federal judge’s ruling that blocked his executive order seeking to withhold funds from 'sanctuary cities' for illegal immigrants to the U.S. Supreme Court."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""DuckDuckGo: President Donald Trump vowed Tuesday night to appeal a federal judge’s ruling that blocked his executive order seeking to withhold funds from 'sanctuary cities' for illegal immigrants. The president said he would take the case all the way to the Supreme Court.""},{""claim"":""U.S. District Judge William Orrick in San Francisco ruled on Tuesday against Trump's Jan. 25 order targeting broad categories of federal funding for sanctuary cities."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""DuckDuckGo: U.S. District Judge William Orrick in San Francisco ruled on Tuesday against President Donald Trump's Jan. 25 order targeting broad categories of federal funding for sanctuary cities.""},{""claim"":""Trump said he had considered proposals to break up the 9th Circuit Court, referring to a question asked during an interview with the Washington Examiner."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""DuckDuckGo: President Donald Trump said he had considered proposals to break up the 9th Circuit Court of Appeals, referring to a question asked during an interview with the Washington Examiner.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",129.27,
3492," GOP Gives Trump The Middle Finger, Prepares To Launch Probe Into Russia",FAKE,REAL,0.74,Two claims were supported by evidence and one was unverifiable. The bias score of 0.45 indicates a slightly sensationalist tone. These factors suggest the content is likely real but with some unverified elements.,editorial,0.45,"{""claims"":[""Senate Armed Services Committee Chairman John McCain (Ariz.) is readying a probe of possible Russian cyber-incursions into U.S. weapons systems."",""Senator Lindsey Graham plans to head up legislation and hold investigative hearings on Russia's interference in the U.S. election."",""Bob Corker, Senate Foreign Relations Committee Chairman, intends to hold hearings next year into alleged Russian hacking.""]}","{""results"":[{""claim"":""Senate Armed Services Committee Chairman John McCain (Ariz.) is readying a probe of possible Russian cyber-incursions into U.S. weapons systems."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""DuckDuckGo: 'John McCain readies probe into Russian cyber threats' - The Hill; 'McCain calls for investigation of Russian hacking of US defense contractors' - Reuters""},{""claim"":""Senator Lindsey Graham plans to head up legislation and hold investigative hearings on Russia's interference in the U.S. election."",""verdict"":""SUPPORTED"",""confidence"":0.7,""evidence"":""DuckDuckGo: 'Lindsey Graham wants to lead investigation into Russian hacking' - The Hill; 'Graham: Russia must be punished for election meddling' - CNN""},{""claim"":""Bob Corker, Senate Foreign Relations Committee Chairman, intends to hold hearings next year into alleged Russian hacking."",""verdict"":""UNVERIFIABLE"",""confidence"":0.3,""evidence"":""DuckDuckGo: 'Bob Corker says Russia must face consequences for election meddling' - The Hill; 'Corker calls for investigation of Russian interference in U.S. elections' - Reuters""}]}","{""tone"":""editorial"",""bias_score"":0.45,""flags"":[""Emotionally loaded adjectives""]}",110.74,
32351,Clinton expands lead over Trump to 13 points: Reuters/Ipsos poll,REAL,REAL,0.853,"All three claims were supported by evidence, indicating a high level of factual accuracy. The neutral tone and low bias score further reinforce the reliability of the content.",neutral,0.15,"{""claims"":[""Hillary Clinton led Donald Trump by 13 percentage points according to a Reuters/Ipsos poll conducted July 1-5."",""The Federal Bureau of Investigation recommended on July 5 that no criminal charges be filed against Hillary Clinton over her use of private email servers."",""Clinton had previously led Trump by 9 percentage points in a previous Reuters/Ipsos poll from June 27 to July 1.""]}","{""results"":[{""claim"":""Hillary Clinton led Donald Trump by 13 percentage points according to a Reuters/Ipsos poll conducted July 1-5."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""Reuters/Ipsos Poll Tracker - U.S. Election 2016 shows results from various dates, including one entry that matches the period of July 1-5 with Hillary Clinton leading by a margin consistent with the claim.""},{""claim"":""The Federal Bureau of Investigation recommended on July 5 that no criminal charges be filed against Hillary Clinton over her use of private email servers."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""\""FBI Director James Comey announces no recommendation for indictment regarding Hillary Clinton's emails\"" from Reuters dated July 6, 2016.""},{""claim"":""Clinton had previously led Trump by 9 percentage points in a previous Reuters/Ipsos poll from June 27 to July 1."",""verdict"":""SUPPORTED"",""confidence"":0.85,""evidence"":""\""Reuters/Ipsos Poll Tracker - U.S. Election 2016\"" shows results from various dates, including one entry that matches the period of June 27-July 1 with Hillary Clinton leading by a margin consistent with the claim.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",111.55,
